committee_id,committee_members,recent_posts,events,user_rating
1,37,11.77269606689027,18,5.2
2,27,11.471654687857738,17,1.3
3,39,28.03048440306292,23,6.1
4,52,5.035075455614766,24,5.3
5,26,8.871193418315652,12,4.0
6,26,14.905482393345022,14,9.6
7,53,46.98775263524202,26,4.3
8,41,28.04360882458163,24,8.2
9,22,17.675377667940356,4,10.0
10,38,10.894381918688438,7,4.7
11,23,59.37609434766188,18,6.5
12,23,15.930202813460902,8,9.7
13,33,8.8637044768685,7,6.2
14,3,60.0,-3,7.7
15,4,5.269495137747087,15,8.3
16,21,39.43922302626404,16,7.3
17,14,16.854679621489016,5,6.1
18,34,27.997114305679553,12,5.4
19,16,24.62898892217813,10,4.8
20,8,27.71952925480683,11,8.2
21,51,60.0,20,5.7
22,26,60.0,9,9.4
23,31,9.280230603671209,20,10.0
24,8,23.975954818288,6,4.7
25,21,3.5,11,8.5
26,31,29.805355040957128,17,10.0
27,12,34.6708167481778,-1,5.3
28,35,3.5,18,9.4
29,20,16.383813177031577,13,8.1
30,25,27.961792448536666,6,8.9
31,20,21.62367423962995,1,5.5
32,57,5.377662251745512,21,10.0
33,29,5.975830232348759,14,5.7
34,14,14.941671029110047,10,8.3
35,42,11.771361302025944,27,6.9
36,11,12.702503586607365,8,8.1
37,33,4.65651595745335,9,5.0
38,3,17.07528009402414,4,4.5
39,10,47.226641706401075,1,7.6
40,32,5.60962179984336,14,6.3
41,41,13.98855409445854,25,6.2
42,32,25.838987119355444,17,8.1
43,28,3.571352444892063,10,4.0
44,25,17.205387797677822,15,9.4
45,7,33.96206446218572,3,7.2
46,19,6.848809247259656,1,8.5
47,23,18.483750696974003,5,8.1
48,45,32.31160823489225,22,8.2
49,35,60.0,19,4.6
50,3,17.781779947667186,14,9.3
51,34,9.047428436309946,17,7.5
52,24,9.114700119777154,19,6.1
53,19,4.381322926586201,14,6.7
54,39,49.76611639122832,22,7.7
55,45,30.98257885359652,25,7.4
56,43,5.974390680936717,21,8.2
57,17,8.597382733147867,15,10.0
58,25,17.561012491172367,9,4.9
59,34,33.78826991898067,6,8.5
60,44,24.018577109235277,22,6.8
61,22,22.38604511802924,13,9.3
62,27,19.407893268013026,9,10.0
63,13,6.29299984092127,2,7.4
64,12,17.73550532072928,9,8.2
65,42,16.156919377504174,22,9.4
66,50,4.316581223735206,23,9.0
67,28,48.94778471138984,8,9.5
68,45,10.156292552069011,16,6.4
69,35,4.441780156679837,19,6.0
70,20,11.646226137501916,11,4.7
71,35,13.557123056609406,21,6.6
72,53,15.783768511433296,20,6.8
73,29,13.376712189928707,17,6.7
74,53,16.483115178474147,21,8.0
75,3,18.673526971135143,2,8.0
76,42,17.96177917221544,23,6.9
77,31,22.266788179610888,10,7.7
78,25,23.23500254941839,13,8.7
79,31,23.65513738269824,15,5.4
80,3,27.959560501014376,5,8.9
81,26,9.231076868156212,17,5.8
82,35,9.524162702081195,18,9.9
83,52,33.894094104396785,24,7.3
84,22,11.940384373568557,12,7.1
85,17,15.113083253488856,19,3.4
86,22,14.083942550512925,19,8.3
87,43,60.0,23,7.2
88,34,7.9078781227493575,19,7.3
89,22,7.774633860194369,8,6.8
90,37,16.526765811522246,16,8.3
91,31,14.40059526003295,18,8.7
92,44,5.919656088397717,24,8.0
93,19,15.507473459600583,15,9.6
94,25,16.874409384404643,15,5.6
95,24,10.974250864986022,23,5.8
96,8,14.796883185201812,6,7.8
97,34,8.603555548900907,21,8.3
